ID,Kind,Text,ReferenceText,Locations
152229577577,dormant-vs-active,"I think we can make this work, but I don't know you. I will need some extra assurance in case our working relationship isn't a smooth one."," I think we can make this work, but I don't know you. I will need some extra assurance in case our working relationship isn't a smooth one.",jazz:.tmp/ame_spec_commit/units_items.lua:136580 | jazz:.tmp/ame_spec_commit/units_items.lua:136597
160551721775,dormant-vs-active,"<image UI/Conversation/T_Dialogue_IconBackgroundCircle.tga 400 130 128 120> Первый 
<image UI/Conversation/T_Dialogue_IconBackgroundCircle.tga 400 130 128 120> Старый 
<image UI/Conversation/T_Dialogue_IconBackgroundCircle.tga 400 130 128 120> Неудобный 
<image UI/Conversation/T_Dialogue_IconBackgroundCircle.tga 400 130 128 120> Точный 
<image UI/Conversation/T_Dialogue_IconBackgroundCircle.tga 400 130 128 120> Ненадежный","<image UI/Conversation/T_Dialogue_IconBackgroundCircle.tga 400 130 128 120> Первый серийный автомат
<image UI/Conversation/T_Dialogue_IconBackgroundCircle.tga 400 130 128 120> Старый 
<image UI/Conversation/T_Dialogue_IconBackgroundCircle.tga 400 130 128 120> Неудобный 
<image UI/Conversation/T_Dialogue_IconBackgroundCircle.tga 400 130 128 120> Точный 
<image UI/Conversation/T_Dialogue_IconBackgroundCircle.tga 400 130 128 120> Ненадежный",jazz:.tmp/ame_spec_commit/jazz_items.lua:22941 | jazz:.tmp/wip-stash/items.lua:23042
172679907276,dormant-vs-active,"Harder to spot by enemies while <GameTerm('Sneaking')>.

Slightly increased chance for <GameTerm('StealthKills')>.","Harder to spot by enemies while <GameTerm('Sneaking')>.
Slightly increased chance for <GameTerm('StealthKills')>.",jazz:.tmp/ame_spec_commit/jazz_items.lua:71177 | jazz:.tmp/wip-stash/items.lua:71282
252249063178,dormant-vs-active,"First <em>weapon swap</em> for the turn is <em>free</em>.

Additional <em>conversation options</em>.","First <em>weapon swap</em> for the turn is <em>free</em>.
Additional <em>conversation options</em>.",jazz:.tmp/ame_spec_commit/jazz_items.lua:70267 | jazz:.tmp/wip-stash/items.lua:70372
293660560234,dormant-vs-active,"Thanks. It will be weird working with both Hitman and Raven. I hope we can avoid working too closely with him, but if that sleazeball hits on her, I swear...","Thanks. It will be weird working with both Hitman and Raven. I hope we can avoid working too closely with him, but if that sleazeball hits on her, I swear... ",jazz:.tmp/ame_spec_commit/units_items.lua:136690
339045500192,dormant-vs-active,"<image UI/Conversation/T_Dialogue_IconBackgroundCircle.tga 400 130 128 120> Ослепляет цель
<image UI/Conversation/T_Dialogue_IconBackgroundCircle.tga 400 130 128 120> Отменяет ответный огонь и уменьшает бонусы от укрытия в центре взрыва
<image UI/Conversation/T_Dialogue_IconBackgroundCircle.tga 400 130 128 120> Подавляет
<image UI/Conversation/T_Dialogue_IconBackgroundCircle.tga 400 130 128 120> Почти бесшумное","<image UI/Conversation/T_Dialogue_IconBackgroundCircle.tga 400 130 128 120> Ослепляет цели
<image UI/Conversation/T_Dialogue_IconBackgroundCircle.tga 400 130 128 120> Отменяет подготовленные выстрелы в радиусе взрыва
<image UI/Conversation/T_Dialogue_IconBackgroundCircle.tga 400 130 128 120> Подавляет и лишает укрытия цели в центре
<image UI/Conversation/T_Dialogue_IconBackgroundCircle.tga 400 130 128 120> Почти бесшумная",jazz:.tmp/ame_spec_commit/jazz_items.lua:30680 | jazz:.tmp/wip-stash/items.lua:30781
420551480759,dormant-vs-active,"Machine Guns shoot many bullets but each individual shot is not very accurate.

Machine Guns can be Set up to focus their threat over an area. Set and stationary Machine Guns can execute a limited number of out-of-turn interrupt attacks against enemies moving in the target area. The number of interrupt attacks is based on remaining AP.","Machine Guns shoot many bullets but each individual shot is not very accurate.
Machine Guns can be Set up to focus their threat over an area. Set and stationary Machine Guns can execute a limited number of out-of-turn interrupt attacks against enemies moving in the target area. The number of interrupt attacks is based on remaining AP.",jazz:.tmp/ame_spec_commit/jazz_items.lua:104019 | jazz:.tmp/wip-stash/items.lua:104162
448145280145,dormant-vs-active,"Warning! This merc is not a member of A.I.M. We are not liable for any damages, loss of limbs, accidental atrocities, or unexpected war crimes that may be caused by using unlicensed mercs. 

 Caution! Use at your own risk!","Warning! This merc is not a member of A.I.M. We are not liable for any damages, loss of limbs, accidental atrocities, or unexpected war crimes that may be caused by using unlicensed mercs. 
 Caution! Use at your own risk!",jazz:.tmp/ame_spec_commit/jazz_items.lua:461 | jazz:.tmp/ame_spec_commit/jazz_items.lua:1743 | jazz:.tmp/wip-stash/items.lua:461 | jazz:.tmp/wip-stash/items.lua:1743 | jazz:Code/AimHiringScreen_Template.lua:423 | jazz:Code/System_AME_Browser_Template.lua:444
464552472248,dormant-vs-active,"Reduces prices for <em>Sector Operations</em> and <em>Boat Travel</em>.

Additional <em>conversation options</em>.","Reduces prices for <em>Sector Operations</em> and <em>Boat Travel</em>.
Additional <em>conversation options</em>.",jazz:.tmp/ame_spec_commit/jazz_items.lua:70257 | jazz:.tmp/wip-stash/items.lua:70362
521528587114,dormant-vs-active,"Rifles have good penetration against Armor and are very accurate when targeting Body Parts. They offer long range but very low rate of fire.

Special attack: Pin Down","Rifles have good penetration against Armor and are very accurate when targeting Body Parts. They offer long range but very low rate of fire.
Special attack: Pin Down",jazz:.tmp/ame_spec_commit/jazz_items.lua:104035 | jazz:.tmp/wip-stash/items.lua:104178
614148544769,dormant-vs-active,"SMGs are very accurate at point-blank range and can fire a hail of bullets. They are medium ranged and are not effective against Armor.

Special attack: Run & Gun","SMGs are very accurate at point-blank range and can fire a hail of bullets. They are medium ranged and are not effective against Armor.
Special attack: Run & Gun",jazz:.tmp/ame_spec_commit/jazz_items.lua:103979 | jazz:.tmp/wip-stash/items.lua:104122
675593980719,dormant-vs-active,"Shotguns are destructive at close range but can be stopped by most body armor. They cause collateral damage in a cone in the direction of the attack, diminishing at long range.

Enemies hit by Shotguns are Exposed and lose the benefits of Cover.

Shotgun attacks inflict additional effects based on ammo type. ","Shotguns are destructive at close range but can be stopped by most body armor. They cause collateral damage in a cone in the direction of the attack, diminishing at long range.
Enemies hit by Shotguns are Exposed and lose the benefits of Cover.
Shotgun attacks inflict additional effects based on ammo type. ",jazz:.tmp/ame_spec_commit/jazz_items.lua:104011 | jazz:.tmp/wip-stash/items.lua:104154
